run_date,code,name,close,market_cap_억원,stock_return_pct,kospi_return_pct,rs_index,ma20,ma20_gap_pct,volatility_contraction,price_change_5d_pct,ma120,avg_volume_50,avg_volume_10,volume_change_pct,industry,core_theme,etf_trend_good,etf_names,etf_details,source_url
2026-08-10,003490,대한항공,26850,96657,7.62,17.65,91.47,26002.50,3.26,X,+2.48,25809.17,2927191,2508942,-14.29,항공사,환율하락 수혜 / UAM(도심항공모빌리티) / 밸류업(24년 기업가치 제고계획 발표),통과,TIGER 여행레저 / RISE K엔터&여행레저 / KODEX 운송,"TIGER 여행레저 (비중 9.92%, 20일선 +3.52%) / RISE K엔터&여행레저 (비중 12.77%, 20일선 -0.65%) / KODEX 운송 (비중 20.72%, 20일선 +4.59%)",https://finance.naver.com/item/main.naver?code=003490
2026-08-10,271560,오리온,137500,53008,5.77,17.65,89.90,131505.00,4.56,X,+3.00,133804.17,122523,129151,+5.41,식품,환율하락 수혜 / 밸류업(25년 기업가치 제고계획 발표) / 음식료업종,통과,KODEX 필수소비재 / HANARO Fn K-푸드 / PLUS 중형주저변동50,"KODEX 필수소비재 (비중 5.19%, 20일선 +7.78%) / HANARO Fn K-푸드 (비중 14.79%, 20일선 +7.09%) / PLUS 중형주저변동50 (비중 2.88%, 20일선 +4.77%)",https://finance.naver.com/item/main.naver?code=271560
2026-08-10,055550,신한지주,106400,502781,5.45,17.65,89.63,104380.00,1.94,X,+3.60,98489.17,1512728,1197374,-20.85,은행,밸류업(24년 기업가치 제고계획 발표) / STO(토큰증권 발행) / 지주사,통과,KODEX Top5PlusTR / TIGER 은행고배당플러스TOP10 / SOL 금융지주플러스고배당,"KODEX Top5PlusTR (비중 7.22%, 20일선 -4.28%) / TIGER 은행고배당플러스TOP10 (비중 15.56%, 20일선 +0.74%) / SOL 금융지주플러스고배당 (비중 21.31%, 20일선 +0.72%)",https://finance.naver.com/item/main.naver?code=055550
2026-08-10,105560,KB금융,171700,597294,4.38,17.65,88.72,172820.00,-0.65,O,+1.30,159685.00,1523937,1084302,-28.85,은행,밸류업(24년 기업가치 제고계획 발표) / STO(토큰증권 발행) / 지주사,통과,TIGER 코리아TOP10 / KODEX Top5PlusTR / RISE 코리아밸류업,"TIGER 코리아TOP10 (비중 6.03%, 20일선 -5.27%) / KODEX Top5PlusTR (비중 8.61%, 20일선 -4.28%) / RISE 코리아밸류업 (비중 4.26%, 20일선 -2.97%)",https://finance.naver.com/item/main.naver?code=105560
2026-08-10,086790,하나금융지주,130400,365457,3.66,17.65,88.10,130310.00,0.07,X,+2.76,120752.50,943353,810652,-14.07,은행,밸류업(24년 기업가치 제고계획 발표) / STO(토큰증권 발행) / 토스(toss),통과,KODEX 금융고배당TOP10타겟위클리커버드콜 / TIGER 은행고배당플러스TOP10 / SOL 금융지주플러스고배당,"KODEX 금융고배당TOP10타겟위클리커버드콜 (비중 15.19%, 20일선 +0.36%) / TIGER 은행고배당플러스TOP10 (비중 16.14%, 20일선 +0.74%) / SOL 금융지주플러스고배당 (비중 20.16%, 20일선 +0.72%)",https://finance.naver.com/item/main.naver?code=086790
2026-08-10,011200,HMM,21450,200438,1.90,17.65,86.61,20643.00,3.91,X,+3.37,20477.58,1566467,1281543,-18.19,해운사,해운 / 밸류업(25년 기업가치 제고계획 발표) / 코리아 밸류업 지수(Korea Value-up Index),통과,HANARO Fn조선해운 / KODEX 운송 / RISE 수출주,"HANARO Fn조선해운 (비중 17.95%, 20일선 +7.57%) / KODEX 운송 (비중 15.68%, 20일선 +4.59%) / RISE 수출주 (비중 2.44%, 20일선 +5.98%)",https://finance.naver.com/item/main.naver?code=011200
2026-08-10,192820,코스맥스,203500,27976,0.25,17.65,85.21,185475.00,9.72,X,+9.70,184830.00,84543,98736,+16.79,화장품,밸류업(25년 기업가치 제고계획 발표) / 코리아 밸류업 지수(Korea Value-up Index) / 화장품,통과,TIGER 화장품 / TIGER 중국소비테마 / TIGER KEDI혁신기업ESG30,"TIGER 화장품 (비중 11.69%, 20일선 +9.23%) / TIGER 중국소비테마 (비중 6.43%, 20일선 +6.20%) / TIGER KEDI혁신기업ESG30 (비중 4.28%, 20일선 +5.75%)",https://finance.naver.com/item/main.naver?code=192820
2026-08-10,241560,두산밥캣,64900,63073,0.00,17.65,85.00,62420.00,3.97,X,+7.45,64893.33,246385,164536,-33.22,기계,건설기계 / 밸류업(24년 기업가치 제고계획 발표) / 지주사,미통과,,,https://finance.naver.com/item/main.naver?code=241560
2026-08-10,161390,한국타이어앤테크놀로지,70000,89190,-3.71,17.65,81.84,69610.00,0.56,X,+4.79,64526.67,437379,308770,-29.40,자동차부품,밸류업(25년 기업가치 제고계획 발표) / 타이어,통과,KODEX 자동차 / KODEX 자율주행액티브,"KODEX 자동차 (비중 12.52%, 20일선 +3.52%) / KODEX 자율주행액티브 (비중 5.91%, 20일선 +5.39%)",https://finance.naver.com/item/main.naver?code=161390
2026-08-10,111770,영원무역,90500,38019,-3.83,17.65,81.74,87850.00,3.02,X,+2.96,84045.83,80168,72291,-9.83,"섬유,의류,신발,호화품",밸류업(25년 기업가치 제고계획 발표) / 패션/의류 / 겨울,통과,RISE K엔터&여행레저 / KODEX 경기소비재 / 에셋플러스 코리아플랫폼액티브,"RISE K엔터&여행레저 (비중 6.91%, 20일선 -0.65%) / KODEX 경기소비재 (비중 4.64%, 20일선 +0.86%) / 에셋플러스 코리아플랫폼액티브 (비중 6.08%, 20일선 +1.64%)",https://finance.naver.com/item/main.naver?code=111770
2026-08-10,026960,동서,26550,26171,-5.18,17.65,80.59,25667.50,3.44,X,+4.53,25957.08,96842,88390,-8.73,식품,음식료업종 / 코리아 밸류업 지수(Korea Value-up Index),통과,RISE 중소형고배당,"RISE 중소형고배당 (비중 3.90%, 20일선 +3.79%)",https://finance.naver.com/item/main.naver?code=026960
